"Alpha Group","Mint/NFT Cost (ETH)","Mint/NFT Cost ($)","Gas Fee (ETH)","Gas Fees ($)","Listing Fee Total (ETH)","Listing Fee Total ($)","Cost of Trade (ETH)","Sell Price (ETH)",Breakeven,"OS Fee","Royalty Fee","Total Fees (ETH)","Initial + Fee (ETH)","Eth Expect to Receive",Wallet,Transfer_Updated,Method_Updated,Profit/Loss,Date_Updated
WT,0.005,$2.95,0.0012,$1.36,0,$0.00,0.0062,,0.0071,2.5%,10.0%,0.0012,0.0062,0,Main,NO,Mint,-0.0062,2022-07-10
LV,0.2,$22.54,0.0016,$1.62,0.0006,$0.60,0.2021,2.2000,0.2231,2.5%,6.9%,0.2089,0.4089,1.9932,Main,NO,Mint,1.7911,2022-07-10
LV,0,$0.00,0.0045,$5.25,0.0014,$1.65,0.0059,0.0029,0.0065,2.5%,6.9%,0.0062,0.0062,0.0026,Burner,NO,Mint,-0.0033,2022-07-10
NP,0.029,$30.98,0.0049,$5.19,0.0007,$0.79,0.0346,,0.0355,2.5%,0.0%,0.0056,0.0346,0,Main,NO,Secondary,-0.0346,2022-07-12
AS,0.013,$17.86,0.008,$10.93,0.0017,$2.24,0.0226,0.0074,0.0251,2.5%,7.5%,0.0103,0.0233,0.0067,Main,NO,Secondary,-0.0159,2022-07-16
NP,0,$0.00,0.0009,$1.43,0,$0.00,0.0009,,0.001,2.5%,7.5%,0.0009,0.0009,0,Main,"Transfer Sent",Mint,-0.0009,2022-08-05
NP,0,$0.00,0.0009,$1.43,0.0008,$1.35,0.0016,,0.0018,2.5%,7.5%,0.0016,0.0016,0,Ledger,"Transfer Received",Mint,-0.0016,2022-08-05
NP,0,$0.00,0.0019,$3.18,0,$0.00,0.0019,,0.0021,2.5%,10.0%,0.0019,0.0019,0,Main,NO,Mint,-0.0019,2022-08-07
NP,0,$0.00,0,$0.00,0.0009,$1.52,0.0009,0.0309,0.001,2.5%,5.0%,0.0032,0.0032,0.0286,Main,NO,Airdrop,0.0277,2022-08-07
SG,0,$0.00,0,$0.00,0.0007,$1.18,0.0007,,0.0007,2.5%,5.0%,0.0007,0.0007,0,Ledger,NO,Airdrop,-0.0007,2022-08-07
AS,0.012,$22.54,0.0044,$8.24,0.0006,$1.18,0.017,0.0289,0.0188,2.5%,7.0%,0.0078,0.0198,0.0262,Main,NO,Secondary,0.0091,2022-08-10
NP,0.16,$22.54,0.0086,$10.47,0.0025,$3.01,0.1711,1.3000,0.1955,2.5%,10.0%,0.1736,0.3336,1.1375,Main,NO,Secondary,0.9664,2022-08-10
FP,0,$0.00,0.0026,$4.34,0,$0.00,0.0026,,0.0026,2.5%,0.0%,0.0026,0.0026,0,Main,NO,Mint,-0.0026,2022-08-19
FP,0,$0.00,0.0011,$1.89,0,$0.00,0.0011,,0.0011,2.5%,0.0%,0.0011,0.0011,0,Burner,NO,Mint,-0.0011,2022-08-20
NP,0,$0.00,0.0011,$1.75,0.0006,$0.94,0.0017,0.0290,0.0018,2.5%,5.0%,0.0039,0.0039,0.0268,Main,NO,Mint,0.0251,2022-08-23
NP,0,$0.00,0.002,$3.24,0.0014,$2.42,0.0034,0.0739,0.0036,2.5%,4.4%,0.0085,0.0085,0.0688,Burner,NO,Mint,0.0654,2022-08-23
WP,0.049,$74.65,0.0014,$2.09,0.0024,$3.67,0.0528,0.0770,0.0541,2.5%,0.0%,0.0057,0.0547,0.0751,Main,NO,Mint,0.0223,2022-08-30
WP,0.049,$74.65,0.0014,$2.09,0,$0.00,0.0504,0.0790,0.0517,2.5%,0.0%,0.0034,0.0524,0.077,Main,NO,Mint,0.0266,2022-08-30
WP,0.049,$74.65,0.0014,$2.09,0,$0.00,0.0504,0.1300,0.0517,2.5%,0.0%,0.0047,0.0537,0.1268,Main,NO,Mint,0.0763,2022-08-30
WP,0.085,$147.03,0.0103,$17.86,0.0015,$2.62,0.0968,0.1280,0.1076,2.5%,7.5%,0.0246,0.1096,0.1152,Main,NO,Mint,0.0184,2022-09-12
NP,0.0054,$9.22,0.0024,$4.04,0.0004,$0.72,0.0082,0.0011,0.0091,2.5%,7.5%,0.0029,0.0083,0.001,Main,NO,Secondary,-0.0072,2022-09-12
NP,0.8619,"$1,271.00",0,$0.00,0,$0.00,0.8619,,0.985,2.5%,10.0%,0,0.8619,0,Ledger,NO,Mint,-0.8619,2022-09-15
AS,0.0434,$61.97,0.002,$2.90,0.0004,$0.63,0.0459,0.0836,0.0461,0.5%,0.0%,0.0029,0.0463,0.0832,Burner,NO,Secondary,0.0373,2022-09-16
AS,0.04,$57.14,0.0021,$2.98,0,$0.00,0.0421,0.0750,0.0423,0.5%,0.0%,0.0025,0.0425,0.0746,Burner,NO,Secondary,0.0325,2022-09-16
NP,0.055,$78.35,0.0011,$1.53,0.0003,$0.42,0.0564,0.0490,0.0609,2.5%,5.0%,0.005,0.06,0.0453,Burner,NO,Secondary,-0.0110,2022-09-17
AS,0,$0.00,0.0016,$2.35,0,$0.00,0.0016,0.0680,0.0016,0.5%,0.0%,0.0019,0.0019,0.0677,Burner,NO,Secondary,0.0661,2022-09-17
WP,0.666,$904.02,0.0015,$1.99,0.0007,$0.95,0.6682,1.9600,0.7636,2.5%,10.0%,0.2472,0.9132,1.715,Main,NO,Mint,1.0468,2022-09-19
FP,0.1972,$267.88,0.0039,$5.31,0.0016,$2.16,0.2027,0.3380,0.2079,2.5%,0.0%,0.014,0.2112,0.3296,Main,NO,Mint,0.1268,2022-09-20
AS,0.021,$27.81,0.0032,$4.23,0.0003,$0.43,0.0245,0.0154,0.0251,2.5%,0.0%,0.0039,0.0249,0.015,Main,NO,Secondary,-0.0095,2022-09-20
WP,2.1,2.623.09,0.0027,$3.84,0.0005,$0.62,2.1032,2.4700,2.4037,2.5%,10.0%,0.312,2.412,2.1613,Ledger,NO,Secondary,0.0580,2022-09-21
WP,0.015,$19.39,0.0096,$12.37,0.0003,$0.44,0.0249,0.0330,0.0255,2.5%,0.0%,0.0107,0.0257,0.0322,Main,NO,Secondary,0.0073,2022-09-23
WP,0.016,$20.68,0.0066,$8.58,0,$0.00,0.0226,0.0490,0.0232,2.5%,0.0%,0.0079,0.0239,0.0478,Main,NO,Secondary,0.0251,2022-09-23
WP,0.045,$58.66,0.0073,$9.51,0,$0.00,0.0523,0.0540,0.0536,2.5%,0.0%,0.0086,0.0536,0.0527,Main,NO,Secondary,0.0004,2022-09-23
WP,0.1,$130.81,0.0065,$8.49,0,$0.00,0.1065,0.1450,0.1092,2.5%,0.0%,0.0101,0.1101,0.1414,Main,NO,Secondary,0.0349,2022-09-23
AS,0.045,$59.22,0.0025,$3.24,0.0002,$0.21,0.0476,0.0490,0.0488,2.5%,0.0%,0.0038,0.0488,0.0478,Main,NO,Secondary,0.0002,2022-09-24
AS,0.0047,$6.19,0.0012,$1.55,0.0002,$0.31,0.0061,0.0290,0.0063,2.5%,0.0%,0.0021,0.0068,0.0283,Main,NO,Secondary,0.0222,2022-09-24
AS,0.0111,$14.66,0.0006,$0.76,0,$0.00,0.0117,0.0384,0.012,2.5%,0.0%,0.0015,0.0126,0.0374,Main,NO,Secondary,0.0258,2022-09-24
AS,0.166,$215.74,0.0013,$1.68,0,$0.00,0.1673,0.1840,0.177,2.5%,3.0%,0.0114,0.1774,0.1739,Main,NO,Secondary,0.0066,2022-09-25
AS,0.015,$19.44,0.001,$1.32,0,$0.00,0.016,0.0065,0.0164,2.5%,0.0%,0.0012,0.0162,0.0063,Main,NO,Secondary,-0.0097,2022-09-25
AS,0.0085,$11.12,0.0011,$1.41,0.0002,$0.32,0.0098,,0.0101,2.5%,0.0%,0.0013,0.0098,0,Main,NO,Secondary,-0.0098,2022-09-25
NP,0.1,$132.91,0.0031,$4.13,0.0007,$0.97,0.1038,0.0599,0.1187,2.5%,10.0%,0.0113,0.1113,0.0524,Main,NO,Secondary,-0.0514,2022-09-30
LV,0,$0.00,0.0006,$0.83,0.0006,$0.73,0.0012,0.0149,0.0013,2.5%,7.5%,0.0026,0.0026,0.0134,Main,NO,Mint,0.0123,2022-10-01
LV,0,$0.00,0.0006,$0.83,0,$0.00,0.0006,0.0090,0.0007,2.5%,7.5%,0.0015,0.0015,0.0081,Main,NO,Mint,0.0075,2022-10-01
AS,0.014,$18.36,0.0022,$2.91,0.0004,$0.49,0.0166,0.0048,0.017,2.5%,0.0%,0.0027,0.0167,0.0047,Main,NO,Secondary,-0.0119,2022-10-01
AS,0.0029,$3.77,0.0016,$2.12,0.0004,$0.47,0.0049,0.0080,0.005,2.5%,0.0%,0.0022,0.0051,0.0078,Main,NO,Secondary,0.0029,2022-10-02
NP,0,$0.00,0.0064,$8.43,0,$0.00,0.0064,,0.0067,2.5%,2.5%,0.0064,0.0064,0,Main,NO,Mint,-0.0064,2022-10-03
NP,0,$0.00,0.0058,$7.71,0,$0.00,0.0058,,0.0061,2.5%,2.5%,0.0058,0.0058,0,Main,NO,Mint,-0.0058,2022-10-03
NP,0,$0.00,0.0053,$7.04,0,$0.00,0.0053,,0.0056,2.5%,2.5%,0.0053,0.0053,0,Main,NO,Mint,-0.0053,2022-10-03
NP,0,$0.00,0.0064,$8.47,0,$0.00,0.0064,,0.0067,2.5%,2.5%,0.0064,0.0064,0,Main,NO,Mint,-0.0064,2022-10-03
NP,0,$0.00,0.0068,$9.06,0,$0.00,0.0068,,0.0072,2.5%,2.5%,0.0068,0.0068,0,Main,NO,Mint,-0.0068,2022-10-03
NP,0,$0.00,0,$0.00,0.0009,$1.12,0.0009,0.2100,0.001,2.5%,7.5%,0.0219,0.0219,0.189,Main,NO,Airdrop,0.1881,2022-10-06
NP,0,$0.00,0,$0.00,0,$0.00,0,,0,2.5%,7.5%,0,0,0,Main,"Transfer Sent",Airdrop,0.0000,2022-10-06
NP,0,$0.00,0,$0.00,0.0008,$1.28,0.0008,,0.0009,2.5%,7.5%,0.0008,0.0008,0,Ledger,"Transfer Received",Airdrop,-0.0008,2022-10-06
NP,0,$0.00,0.0051,$6.81,0,$0.00,0.0051,,0.0053,2.5%,0.0%,0.0051,0.0051,0,Burner,NO,Mint,-0.0051,2022-10-09
NP,0.09,$22.54,0.0038,$4.67,0.0028,$3.36,0.0966,1.9000,0.1104,2.5%,10.0%,0.2441,0.3341,1.6625,Main,NO,Mint,1.5659,2022-10-10
M,0,$389.82,0.0041,$5.12,0.0032,$4.18,0.0073,,0.0079,2.5%,5.0%,0.0073,0.0073,0,Ledger,NO,Airdrop,-0.0073,2022-10-12
WP,0,$0.00,0.0019,$2.47,0,$0.00,0.0019,0.0000,0.002,2.5%,,0.0019,0.0019,0,Ledger,NO,Mint,-0.0019,2022-10-12
AS,0.02,$26.18,0.0041,$5.36,0.0009,$1.17,0.025,0.0330,0.0256,2.5%,0.0%,0.0058,0.0258,0.0322,Main,NO,Secondary,0.0072,2022-10-14
AS,0.176,$225.83,0.0039,$4.96,0.0009,$1.13,0.1807,0.1240,0.1854,2.5%,0.0%,0.0078,0.1838,0.1209,Main,NO,Secondary,-0.0598,2022-10-16
WP,0,$0.00,0.0012,$1.56,0,$0.00,0.0012,,0.0013,2.5%,5.0%,0.0012,0.0012,0,Burner,NO,Mint,-0.0012,2022-10-16
AS,0.0099,$13.02,0.002,$2.64,0.002,$2.52,0.0139,0.0025,0.0142,2.5%,0.0%,0.004,0.0139,0.0024,Burner,NO,Mint,-0.0114,2022-10-22
G,0,$0.00,0.0019,$2.96,0,$0.00,0.0019,,0.0021,2.5%,5.0%,0.0019,0.0019,0,Ledger,NO,Mint,-0.0019,2022-10-28
WP,0.2,$311.49,0.0041,$6.37,0.0057,$8.94,0.2098,0.7450,0.2268,2.5%,5.0%,0.0657,0.2657,0.6891,Main,NO,Secondary,0.4793,2022-11-02
WP,0.2,$311.49,0.0041,$6.37,0,$0.00,0.2041,0.5710,0.2093,2.5%,0.0%,0.0184,0.2184,0.5567,Main,NO,Secondary,0.3526,2022-11-02
WP,0.59,$962.91,0.0011,$1.80,0.0014,$2.26,0.5925,0.7250,0.6405,2.5%,5.0%,0.0569,0.6469,0.6706,Main,NO,Mint,0.0781,2022-11-06
NP,0,$0.00,0.001,$1.66,0.0008,$1.30,0.0018,0.0169,0.0021,2.5%,10.0%,0.0039,0.0039,0.0148,Main,NO,Mint,0.0130,2022-11-07
NP,0,$0.00,0.001,$1.66,0,$0.00,0.001,0.0169,0.0011,2.5%,10.0%,0.0031,0.0031,0.0148,Main,NO,Mint,0.0138,2022-11-07
WP,0.205,$325.36,0.0063,$9.97,0.0009,$1.04,0.2122,,0.2358,2.5%,7.5%,0.0072,0.2122,0,Ledger,NO,Secondary,-0.2122,2022-11-07
WP,0.205,$325.36,0.0063,$9.97,0,$0.00,0.2113,,0.2348,2.5%,7.5%,0.0063,0.2113,0,Ledger,NO,Secondary,-0.2113,2022-11-07
NP,0,$0.00,0.0016,$2.51,0,$0.00,0.0016,,0.0016,2.5%,0.0%,0.0016,0.0016,0,Burner,NO,Mint,-0.0016,2022-11-07
NP,0.012,$22.54,0.0083,$10.17,0.0027,$3.26,0.023,0.4000,0.0255,2.5%,7.5%,0.051,0.063,0.36,Main,NO,Mint,0.3370,2022-11-10
WP,0,$0.00,0.003,$4.01,0.0016,$2.44,0.0046,,0.0052,2.5%,10.0%,0.0046,0.0046,0,Main,NO,Mint,-0.0046,2022-11-10
AS,0.0137,$17.26,0.0066,$8.37,0.0011,$1.41,0.0215,0.0330,0.022,2.5%,0.0%,0.0086,0.0223,0.0322,Main,NO,Secondary,0.0107,2022-11-11
WP,0.018,$20.92,0.0019,$2.19,0,$0.00,0.0199,0.0294,0.022,2.5%,6.9%,0.0047,0.0227,0.0266,Main,NO,Mint,0.0067,2022-11-22
WP,0.018,$20.92,0.0019,$2.19,0,$0.00,0.0199,0.0294,0.022,2.5%,6.9%,0.0047,0.0227,0.0266,Main,NO,Mint,0.0067,2022-11-22
WP,0,$0.00,0.0021,$2.42,0.0009,$1.09,0.003,0.0398,0.0033,2.5%,5.0%,0.006,0.006,0.0368,Main,NO,Mint,0.0338,2022-11-23
NP,0,$0.00,0.0027,$3.12,0.0013,$1.55,0.004,0.0169,0.0045,2.5%,7.5%,0.0057,0.0057,0.0152,Main,NO,Mint,0.0112,2022-11-23
AS,0.19,$244.30,0.0026,$3.35,0.0006,$0.78,0.1932,0.1990,0.1982,2.5%,0.0%,0.0082,0.1982,0.194,Ledger,NO,Secondary,0.0008,2022-11-30
AS,0.0239,$30.53,0.0025,$3.26,0.0007,$0.92,0.0271,0.0289,0.0301,2.5%,7.5%,0.0061,0.03,0.026,Main,NO,Secondary,-0.0011,2022-12-02
AS,0.0239,$30.53,0.0025,$3.26,0,$0.00,0.0264,0.0384,0.0293,2.5%,7.5%,0.0063,0.0302,0.0346,Main,NO,Secondary,0.0082,2022-12-02
AS,0.018,$23.07,0.0037,$4.79,0.0013,$1.72,0.023,0.0277,0.0236,2.5%,0.0%,0.0057,0.0237,0.027,Main,NO,Secondary,0.0040,2022-12-02
AS,0.018,$23.07,0.0037,$4.79,0,$0.00,0.0217,0.0274,0.0223,2.5%,0.0%,0.0044,0.0224,0.0267,Main,NO,Secondary,0.0050,2022-12-02
AS,0.004,$5.21,0.0032,$4.08,0.0006,$0.82,0.0078,0.0013,0.008,2.5%,0.0%,0.0039,0.0079,0.0013,Main,NO,Secondary,-0.0066,2022-12-02
AS,0.004,$5.21,0.0032,$4.08,0,$0.00,0.0072,0.0013,0.0074,2.5%,0.0%,0.0032,0.0072,0.0013,Main,NO,Secondary,-0.0059,2022-12-02
AS,0.004,$5.21,0.0032,$4.08,0,$0.00,0.0072,0.0013,0.0074,2.5%,0.0%,0.0032,0.0072,0.0013,Main,NO,Secondary,-0.0059,2022-12-02
AS,0.004,$5.21,0.0032,$4.08,0,$0.00,0.0072,0.0013,0.0074,2.5%,0.0%,0.0032,0.0072,0.0013,Main,NO,Secondary,-0.0059,2022-12-02
AS,0.0047,$6.09,0.0036,$4.66,0,$0.00,0.0083,0.0010,0.0085,2.5%,0.0%,0.0036,0.0084,0.001,Main,NO,Secondary,-0.0074,2022-12-02
AS,0.0165,$21.28,0.0035,$4.52,0.001,$1.29,0.021,0.0001,0.0215,2.5%,0.0%,0.0045,0.021,0.0001,Main,NO,Secondary,-0.0209,2022-12-02
AS,0.07,$90.54,0.0028,$3.57,0.0007,$0.89,0.0734,0.0146,0.0753,2.5%,0.0%,0.0038,0.0738,0.0142,Main,NO,Secondary,-0.0592,2022-12-02
NP,0,$0.00,0.0008,$1.07,0.0005,$0.70,0.0013,0.0018,0.0014,2.5%,0.0%,0.0014,0.0014,0.0018,Main,NO,Mint,0.0004,2022-12-02
NP,0,$0.00,0.0008,$1.07,0,$0.00,0.0008,0.0018,0.0008,2.5%,0.0%,0.0008,0.0008,0.0018,Main,NO,Mint,0.0010,2022-12-02
WP,0.025,$31.35,0.0013,$1.59,0.0021,$0.74,0.0284,0.0010,0.0291,2.5%,0.0%,0.0034,0.0284,0.001,Main,NO,Mint,-0.0274,2022-12-04
AS,0.009,$11.47,0.0028,$3.62,0.0005,$2.57,0.0123,,0.0133,2.5%,5.0%,0.0033,0.0123,0,Main,NO,Secondary,-0.0123,2022-12-04
AS,0.0095,$12.10,0.0028,$3.62,0,$0.00,0.0123,,0.0133,2.5%,5.0%,0.0028,0.0123,0,Main,NO,Secondary,-0.0123,2022-12-04
NP,0.007,$8.82,0.0026,$3.32,0,$0.00,0.0096,,0.0099,2.5%,0.0%,0.0026,0.0096,0,Burner,NO,Mint,-0.0096,2022-12-04
NP,0.007,$8.82,0.0021,$2.66,0,$0.00,0.0091,,0.0093,2.5%,0.0%,0.0021,0.0091,0,Burner,NO,Mint,-0.0091,2022-12-04
WP,0,$0.00,0.0015,$1.90,0,$0.00,0.0015,0.0880,0.0017,2.5%,7.5%,0.0103,0.0103,0.0792,Main,NO,Mint,0.0777,2022-12-06
WP,0,$0.00,0.0015,$1.90,0.0011,$1.39,0.0026,0.0750,0.0029,2.5%,7.5%,0.0101,0.0101,0.0675,Main,NO,Mint,0.0649,2022-12-06
NP,0.021,$26.29,0.0021,$2.70,0.0009,$1.11,0.024,,0.0274,2.5%,10.0%,0.003,0.024,0,Main,NO,Mint,-0.0240,2022-12-06
WP,0,$0.00,0.0012,$1.51,0.001,$1.25,0.0022,0.0544,0.0024,2.5%,7.5%,0.0076,0.0076,0.049,Ledger,NO,Mint,0.0468,2022-12-06
WP,0,$0.00,0.0012,$1.51,0,$0.00,0.0012,,0.0013,2.5%,7.5%,0.0012,0.0012,0,Ledger,NO,Mint,-0.0012,2022-12-06
WP,0.018,$22.71,0.0011,$1.37,0.0018,$2.22,0.0209,0.0250,0.0231,2.5%,6.9%,0.0053,0.0233,0.0227,Main,NO,Mint,0.0017,2022-12-07
WP,0.018,$22.71,0.0011,$1.37,0,$0.00,0.0191,,0.0211,2.5%,6.9%,0.0011,0.0191,0,Main,NO,Mint,-0.0191,2022-12-07
WP,0,$0.00,0.0009,$1.16,0.0019,$2.43,0.0028,,0.003,2.5%,5.0%,0.0028,0.0028,0,Main,NO,Mint,-0.0028,2022-12-08
WP,0,$0.00,0.0009,$1.16,0,$0.00,0.0009,,0.001,2.5%,5.0%,0.0009,0.0009,0,Main,NO,Mint,-0.0009,2022-12-08
WP,0.25,$317.40,0.0049,$6.24,0.0016,$2.06,0.2565,0.3090,0.2631,2.5%,0.0%,0.0142,0.2642,0.3013,Main,NO,Mint,0.0448,2022-12-09
WP,0.25,$317.40,0.0049,$6.24,0,$0.00,0.2549,0.2745,0.2614,2.5%,0.0%,0.0118,0.2618,0.2676,Main,NO,Mint,0.0127,2022-12-09
NP,0.4,$22.54,0.0091,$10.58,0.0009,$1.02,0.41,2.6000,0.4685,2.5%,10.0%,0.335,0.735,2.275,Main,NO,Mint,1.8650,2022-12-10
AZ,0,$0.00,0.0021,$2.67,0.0009,$1.14,0.003,0.0040,0.0034,2.5%,10.0%,0.0035,0.0035,0.0035,Main,NO,Mint,0.0005,2022-12-11
WP,0.2,$254.42,0.0016,$2.03,0.0006,$0.80,0.2022,0.2360,0.2074,2.5%,0.0%,0.0081,0.2081,0.2301,Ledger,NO,Mint,0.0279,2022-12-11
AZ,0,$0.00,0.002,$2.54,0.0011,$1.41,0.0031,0.0004,0.0035,2.5%,10.0%,0.0032,0.0032,0.0004,Burner,NO,Mint,-0.0028,2022-12-11
WP,0.05,$63.51,0.0021,$2.63,0.0014,$1.78,0.0535,0.0597,0.059,2.5%,6.9%,0.0091,0.0591,0.0541,Main,NO,Mint,0.0006,2022-12-15
WP,0.05,$63.51,0.0021,$2.63,0,$0.00,0.0521,0.0624,0.0575,2.5%,6.9%,0.0079,0.0579,0.0565,Main,NO,Mint,0.0045,2022-12-15
WP,0,$0.00,0.0035,$4.27,0,$0.00,0.0035,,0.0036,2.5%,0.0%,0.0035,0.0035,0,Main,NO,Mint,-0.0035,2022-12-15
NP,0.1,$118.91,0.0011,$1.32,0.0022,$2.71,0.1033,0.0000,0.1181,2.5%,10.0%,0.0033,0.1033,0,Ledger,NO,Mint,-0.1033,2022-12-16
NP,0.1,$118.91,0.0011,$1.32,0,$0.00,0.1011,0.0000,0.1156,2.5%,10.0%,0.0011,0.1011,0,Ledger,NO,Mint,-0.1011,2022-12-16
NP,0.1,$118.91,0.0011,$1.32,0,$0.00,0.1011,0.0000,0.1156,2.5%,10.0%,0.0011,0.1011,0,Ledger,NO,Mint,-0.1011,2022-12-16
WP,0.1,$117.45,0.0012,$1.41,0.001,$1.13,0.1022,,0.1168,2.5%,10.0%,0.0022,0.1022,0,Ledger,NO,Mint,-0.1022,2022-12-19
WP,0.1,$117.45,0.0012,$1.41,0,$0.00,0.1012,,0.1157,2.5%,10.0%,0.0012,0.1012,0,Ledger,NO,Mint,-0.1012,2022-12-19
TW,0.099,$116.40,0.0024,$2.88,0.0011,$1.77,0.1026,,0.1172,2.5%,10.0%,0.0036,0.1026,0,Ledger,NO,Mint,-0.1026,2022-12-19
TW,0.04,$48.28,0.0013,$1.57,0.0013,$1.53,0.0426,0.0747,0.0473,2.5%,7.5%,0.01,0.05,0.0672,Main,NO,Mint,0.0247,2022-12-20
TW,0.04,$48.28,0.0013,$1.57,0,$0.00,0.0413,,0.0459,2.5%,7.5%,0.0013,0.0413,0,Main,NO,Mint,-0.0413,2022-12-20
NP,0,$0.00,0,$0.00,0,$0.00,0,,0,2.5%,10.0%,0,0,0,Ledger,NO,Mint,0.0000,2022-12-20
NP,0.0997,$120.82,0.0019,$2.34,0,$0.00,0.1016,0.0000,0.1161,2.5%,10.0%,0.0019,0.1016,0,Ledger,NO,Secondary,-0.1016,2022-12-20
NP,0.102,$123.59,0.0019,$2.34,0,$0.00,0.1039,0.0000,0.1188,2.5%,10.0%,0.0019,0.1039,0,Ledger,NO,Secondary,-0.1039,2022-12-20
NP,0.0997,$120.76,0.0017,$2.05,0,$0.00,0.1014,0.0000,0.1159,2.5%,10.0%,0.0017,0.1014,0,Ledger,NO,Secondary,-0.1014,2022-12-20
NP,0.1139,$138.02,0.0017,$2.10,0,$0.00,0.1156,0.0000,0.1322,2.5%,10.0%,0.0017,0.1156,0,Ledger,NO,Secondary,-0.1156,2022-12-20
NP,0.115,$139.36,0.0017,$2.10,0,$0.00,0.1167,0.0000,0.1334,2.5%,10.0%,0.0017,0.1167,0,Ledger,NO,Secondary,-0.1167,2022-12-20
AZ,0.0042,$5.07,0.0029,$3.49,0.0009,$1.07,0.0079,0.0067,0.0086,2.5%,5.0%,0.0043,0.0084,0.0062,Main,NO,Secondary,-0.0017,2022-12-21
AZ,0.0042,$5.07,0.0029,$3.49,0,$0.00,0.007,0.0067,0.0076,2.5%,5.0%,0.0034,0.0075,0.0062,Main,NO,Secondary,-0.0008,2022-12-21
AZ,0.0042,$5.07,0.0029,$3.49,0,$0.00,0.007,0.0067,0.0076,2.5%,5.0%,0.0034,0.0075,0.0062,Main,NO,Secondary,-0.0008,2022-12-21
NP,0,$0.00,0.0028,$3.41,0.0019,$2.30,0.0047,,0.0054,2.5%,10.0%,0.0047,0.0047,0,Ledger,NO,Mint,-0.0047,2022-12-21
NP,0,$0.00,0.0027,$3.27,0,$0.00,0.0027,,0.0031,2.5%,10.0%,0.0027,0.0027,0,Ledger,NO,Mint,-0.0027,2022-12-21
NP,0.02,$24.28,0.0052,$6.36,0.0009,$1.14,0.0262,0.0066,0.0268,2.5%,0.0%,0.0063,0.0263,0.0064,Main,NO,Secondary,-0.0197,2022-12-23
NP,0.02,$24.28,0.0052,$6.36,0,$0.00,0.0252,0.0067,0.0259,2.5%,0.0%,0.0054,0.0254,0.0065,Main,NO,Secondary,-0.0187,2022-12-23
AZ,0.002,$2.44,0.0004,$0.47,0.0008,$0.96,0.0032,0.0094,0.0033,2.5%,0.0%,0.0014,0.0034,0.0092,Main,NO,Mint,0.0060,2022-12-23
AZ,0.002,$2.44,0.0004,$0.47,0,$0.00,0.0024,0.0159,0.0024,2.5%,0.0%,0.0008,0.0028,0.0155,Main,NO,Mint,0.0131,2022-12-23
AZ,0.002,$2.44,0.0004,$0.47,0,$0.00,0.0024,0.0087,0.0024,2.5%,0.0%,0.0006,0.0026,0.0085,Main,NO,Mint,0.0061,2022-12-23
AZ,0.002,$2.44,0.0004,$0.47,0,$0.00,0.0024,0.0120,0.0024,2.5%,0.0%,0.0007,0.0027,0.0117,Main,NO,Mint,0.0093,2022-12-23
AZ,0.002,$2.43,0.0003,$0.35,0.0008,$1.03,0.0031,0.0100,0.0032,2.5%,0.0%,0.0014,0.0034,0.0098,Main,NO,Mint,0.0066,2022-12-25
AZ,0.002,$2.43,0.0003,$0.35,0,$0.00,0.0023,0.0100,0.0023,2.5%,0.0%,0.0005,0.0025,0.0098,Main,NO,Mint,0.0075,2022-12-25
AZ,0.002,$2.43,0.0003,$0.35,0,$0.00,0.0023,0.0100,0.0023,2.5%,0.0%,0.0005,0.0025,0.0098,Main,NO,Mint,0.0075,2022-12-25
AZ,0.002,$2.43,0.0003,$0.35,0,$0.00,0.0023,0.0100,0.0023,2.5%,0.0%,0.0005,0.0025,0.0098,Main,NO,Mint,0.0075,2022-12-25
AZ,0.002,$2.43,0.0003,$0.35,0,$0.00,0.0023,0.0100,0.0023,2.5%,0.0%,0.0005,0.0025,0.0098,Main,NO,Mint,0.0075,2022-12-25
NP,0,$0.00,0.0029,$4.82,0.0012,$1.86,0.0041,0.0000,0.0047,2.5%,10.0%,0.0041,0.0041,0,Main,NO,Mint,-0.0041,2022-12-29
AG,0.026,$31.10,0.0059,$7.02,0,$0.00,0.0319,,0.0364,2.5%,10.0%,0.0059,0.0319,0,Ledger,NO,Mint,-0.0319,2022-12-29
WP,0,$0.00,0.0021,$2.51,0,$0.00,0.0021,,0.0024,2.5%,10.0%,0.0021,0.0021,0,Ledger,NO,Mint,-0.0021,2022-12-31
WP,0,$0.00,0.002,$2.36,0,$0.00,0.002,0.0000,0.0022,2.5%,10.0%,0.002,0.002,0,Ledger,NO,Mint,-0.0020,2022-12-31
WP,0,$0.00,0.0021,$2.54,0.001,$1.51,0.0031,0.0190,0.0035,2.5%,10.0%,0.0055,0.0055,0.0166,Ledger,NO,Mint,0.0135,2022-12-31
